geneSymbol	diseaseName
TGM5	Peeling skin syndrome, acral type
TH	Segawa syndrome, autosomal recessive
TJP2	Hypercholanemia, Familial
TP63	Split-Hand/Foot Malformation 4
TPM2	Arthrogryposis multiplex congenita, distal type 1
TRPV4	SPINAL MUSCULAR ATROPHY, SCAPULOPERONEAL
YARS	Charcot-Marie-Tooth Disease, Dominant Intermediate C
ABCA12	Lamellar ichthyosis, type 2
ABCC9	Cantu syndrome
AICDA	IMMUNODEFICIENCY WITH HYPER-IgM, TYPE 2
ALG12	Congenital disorder of glycosylation type 1G
AMHR2	Persistent Mullerian duct syndrome
ANO5	Muscular Dystrophy, Limb-Girdle, Type 2L
ATL1	Spastic paraplegia 3, autosomal dominant
ATP2A1	Brody myopathy
ATRX	Mental retardation-hypotonic facies syndrome, x-linked, 1
BCS1L	Bjornstad syndrome
BDNF	Congenital central hypoventilation syndrome
BSCL2	Neuronopathy, Distal Hereditary Motor, Type V
CDH3	Ectodermal dysplasia, ectrodactyly, and macular dystrophy
CHRNA4	Epilepsy, Nocturnal Frontal Lobe, Type 1
CHRNG	MULTIPLE PTERYGIUM SYNDROME, LETHAL TYPE
COL11A2	Pierre Robin syndrome with fetal chondrodysplasia
COL4A1	Angiopathy, Hereditary, With Nephropathy, Aneurysms, And Muscle Cramps
COL4A1	Brain Small Vessel Disease with Hemorrhage
COLQ	Endplate Acetylcholinesterase Deficiency
CTNS	Cystinosis, Late-Onset Juvenile or Adolescent Nephropathic Type
CYLD	Trichoepithelioma multiple familial
DARS2	Leukoencephalopathy with Brainstem and Spinal Cord Involvement and Lactate Elevation
DIS3L2	Nephroblastomatosis, fetal ascites, macrosomia and Wilms tumor
DSP	Skin Fragility-Woolly Hair Syndrome
ERCC4	XFE Progeroid Syndrome
F12	Hereditary Angioedema Type III
FAM126A	Leukodystrophy, Hypomyelinating, 5
FBP1	Fructose-1,6-Diphosphatase Deficiency
FGF10	Lacrimoauriculodentodigital syndrome
FGFR3	Lacrimoauriculodentodigital syndrome
FHL1	Myopathy, X-Linked, With Postural Muscle Atrophy
GARS	Neuronopathy, Distal Hereditary Motor, Type V
GATA1	Thrombocytopenia, Platelet Dysfunction, Hemolysis, and Imbalanced Globin Synthesis
GDF5	Fibular hypoplasia and complex brachydactyly
GDF6	Klippel Feil syndrome dominant type
GJB2	Knuckle pads, leuconychia and sensorineural deafness
GNE	Distal myopathy, Nonaka type
GNPTAB	Pseudo-Hurler polydystrophy
GSS	Glutathione synthetase deficiency
HAL	Histidinemia
HOXD13	Brachydactyly, Type E
HSPD1	Spastic paraplegia 13, autosomal dominant
IHH	Acrocapitofemoral Dysplasia
ING1	Carcinoma, squamous cell of head and neck
INPP5E	Joubert syndrome 1
IQSEC2	Mental Retardation, X-Linked 1
IYD	Thyroid Dyshormonogenesis 4
KCNJ2	Short QT Syndrome 3
KCNMA1	Generalized Epilepsy and Paroxysmal Dyskinesia
KLKB1	Prekallikrein Deficiency
KRT17	Steatocystoma Multiplex
KRT86	Monilethrix
MCCC1	3-methylcrotonyl CoA carboxylase 1 deficiency
MMAB	Methylmalonic aciduria cblB type
MMACHC	Methylmalonic acidemia with homocystinuria
MOCS2	Molybdenum cofactor deficiency
MOGS	Congenital Disorder Of Glycosylation, Type IIB
MPDU1	Congenital disorder of glycosylation type 1F
MYOC	Glaucoma 1, Open Angle, A
MYOT	Spheroid body myopathy
NAGA	Kanzaki disease
NDUFS1	Mitochondrial complex I deficiency
NF1	Neurofibromatosis, Familial Spinal
NIPA1	Spastic paraplegia 6, autosomal dominant
OCLN	BAND-LIKE CALCIFICATION WITH SIMPLIFIED GYRATION AND POLYMICROGYRIA
PAX3	Craniofacial deafness hand syndrome
PCDH19	Epilepsy, Female-Restricted, with Mental Retardation
PGK1	Phosphoglycerate Kinase 1 Deficiency
PLA2G6	Dystonia-Parkinsonism, Adult-Onset
PMP22	Charcot-Marie-Tooth Disease, Demyelinating, Type 1e
PNKP	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 10
POLG	Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Recessive
RAB23	Acrocephalopolysyndactyly Type II
RFT1	Congenital Disorder Of Glycosylation, Type In
RFX5	Bare lymphocyte syndrome 2
RGS9	Prolonged Electroretinal Response Suppression
RIMS1	Cone-Rod Dystrophy 7
ROBO3	Gaze Palsy, Familial Horizontal, with Progressive Scoliosis
SAMD9	Tumoral Calcinosis, Normophosphatemic, Familial
SART3	Porokeratosis, disseminated superficial actinic 1
SCN5A	Sick Sinus Syndrome 1, Autosomal Recessive
SETX	Amyotrophic Lateral Sclerosis 4, Juvenile
SLC2A9	Hypouricemia, Renal, 2
SLC6A3	Parkinsonism-Dystonia, Infantile
SOX10	Peripheral Demyelinating Neuropathy, Central Dysmyelination, Waardenburg Syndrome, and Hirschsprung Disease
TEK	Venous Malformations, Multiple Cutaneous and Mucosal
TGM5	Peeling skin syndrome, acral type
TH	Segawa syndrome, autosomal recessive
TJP2	Hypercholanemia, Familial
TP63	Split-Hand/Foot Malformation 4
TPM2	Arthrogryposis multiplex congenita, distal type 1
TRPV4	SPINAL MUSCULAR ATROPHY, SCAPULOPERONEAL
YARS	Charcot-Marie-Tooth Disease, Dominant Intermediate C
ABCB11	Cholestasis, benign recurrent intrahepatic 2
ACAD8	Isobutyryl-CoA dehydrogenase deficiency
ACADSB	2-Methylbutyryl-Coa Dehydrogenase Deficiency
ACAN	Osteochondritis Dissecans
AGT	Allanson Pantzar McLeod syndrome
APOA1	Amyloidosis, familial visceral
ARHGAP26	Leukemia, Myelomonocytic, Juvenile
ARHGEF9	Hyperekplexia and Epilepsy
ATP8B1	Cholestasis, benign recurrent intrahepatic 1
BAAT	Hypercholanemia, Familial
BCS1L	Mitochondrial Complex III Deficiency
BMP4	Orofacial Cleft 11
CASP10	Autoimmune Lymphoproliferative Syndrome, Type IIA
CC2D2A	COACH syndrome
CD8A	CD8 Deficiency, Familial
CD96	Opitz trigonocephaly syndrome
CDKL5	Epileptic Encephalopathy, Early Infantile, 2
CDKN2A	Melanoma-Pancreatic Cancer Syndrome
CERKL	Retinitis Pigmentosa 26
CFI	Complement Factor I Deficiency
CFP	Properdin deficiency, X-linked
CHRNB2	Epilepsy, Nocturnal Frontal Lobe, Type 3
CLCN5	Nephrolithiasis, X-Linked Recessive, with Renal Failure
CNGA3	Achromatopsia 2
CNGB3	Stargardt disease 1
COL1A1	Ehlers-Danlos syndrome type 1
CRB1	Pigmented Paravenous Chorioretinal Atrophy
CUL4B	Mental Retardation, X-Linked, With Brachydactyly And Macroglossia
CYP11B2	18-Hydroxylase deficiency
DDR2	Spondylometaepiphyseal Dysplasia, Short Limb-Hand Type
DDX11	WARSAW BREAKAGE SYNDROME
DMGDH	Dimethylglycine Dehydrogenase Deficiency
DOK7	Congenital myasthenic syndrome ib
DOLK	Congenital Disorder Of Glycosylation, Type Im
ECM1	Lipoid Proteinosis of Urbach and Wiethe
EGR2	Charcot-Marie-Tooth disease, Type 1D
EIF2B3	Childhood Ataxia with Central Nervous System Hypomyelinization
EPG5	Absent corpus callosum cataract immunodeficiency
FBN1	Stiff Skin Syndrome
FGFR1	Trigonocephaly, Nonsyndromic
FGFR1	Osteoglophonic dwarfism
FGFR3	CATSHL syndrome
FHL1	Scapuloperoneal Myopathy, X-Linked Dominant
FKTN	Muscular Dystrophy, Limb-Girdle, Type 2M
FLNA	Cardiac valvular dysplasia, X-linked
FLVCR2	Encephaloclastic Proliferative Vasculopathy
FOXG1	RETT SYNDROME, CONGENITAL VARIANT
FSHB	Follicle-stimulating hormone deficiency, isolated
FTCD	Glutamate formiminotransferase deficiency
G6PC3	Neutropenia, Severe Congenital, Autosomal Recessive 4
GABRG2	Generalized Epilepsy With Febrile Seizures Plus, Type 3
GFER	Myopathy, Mitochondrial Progressive, With Congenital Cataract, Hearing Loss, And Developmental Delay
GGCX	Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, 1
GH1	Isolated Growth Hormone Deficiency, Type IB
GH1	Kowarski syndrome
GIF	Intrinsic Factor Deficiency
GJA1	Syndactyly, type 3
GJA5	Atrial Standstill
GJB2	HID Syndrome
GLUL	Glutamine deficiency, congenital
GNRHR	Fertile eunuch syndrome
GRM6	NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 1B
HOXA13	Preaxial deficiency, postaxial polydactyly and hypospadias
HOXD13	Syndactyly, type v
HRAS	Nevus, Sebaceous of Jadassohn
HSD17B3	17-Hydroxysteroid Dehydrogenase Deficiency
HSPB8	Charcot-Marie-Tooth disease, Type 2I
HSPD1	Leukodystrophy, Hypomyelinating, 4
ITPR1	Spinocerebellar Ataxia 29
KCNE1	Long Qt Syndrome 5
KCNE2	Long Qt Syndrome 6
KCNJ11	Hyperinsulinemic hypoglycemia, familial, 2
KCNK9	Birk-Barel Mental Retardation Dysmorphism Syndrome
KITLG	Hyperpigmentation, Familial Progressive
LBR	Reynold's syndrome
LHCGR	Leydig Cell Hypoplasia, Type I
MAPK8IP1	Diabetes Mellitus, Type 2
MMP13	Spondyloepimetaphyseal Dysplasia, Missouri Type
MPZ	Charcot-Marie-Tooth disease, Type 2J
MUTYH	Colorectal Adenomatous Polyposis, Autosomal Recessive
MYH14	Deafness, Autosomal Dominant 4
MYH8	Carney Complex Variant
MYH9	Deafness, Autosomal Dominant 17
MYOT	Muscular dystrophy, limb-girdle, type 1A
NDUFS2	Mitochondrial complex I deficiency
NEFL	Charcot-Marie-Tooth disease, Type 2E
NEUROG3	Diarrhea 4, Malabsorptive, Congenital
NHEJ1	Severe Combined Immunodeficiency with Microcephaly, Growth Retardation, and Sensitivity to Ionizing Radiation
NOG	Tarsal carpal coalition syndrome
NUP62	Striatonigral degeneration infantile
OPN1LW	Blue cone monochromatism
OPN1MW	Blue cone monochromatism
PDYN	Spinocerebellar ataxia 23
PEX5	Neonatal adrenoleukodystrophy
PGAM2	Dimauro disease
PHF8	Siderius X-linked mental retardation syndrome
PHGDH	Phosphoglycerate Dehydrogenase Deficiency
PIGV	Hyperphosphatasia with Mental Retardation
PITPNM3	Cone-Rod Dystrophy 5
PKP2	Arrhythmogenic Right Ventricular Dysplasia, Familial, 9
PLA2G6	NBIA2B
PLCE1	NEPHROTIC SYNDROME, TYPE 3
PNPO	Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency
POMT1	Muscular Dystrophy, Limb-Girdle, Type 2K
PPIB	Osteogenesis Imperfecta, Type IX
PRPH2	Choroidal Dystrophy, Central Areolar 2
PRPS1	Phosphoribosylpyrophosphate Synthetase Superactivity
PRPS1	Optic atrophy polyneuropathy deafness
PRPS1	Deafness, X-Linked 1
PRRX1	Dysgnathia complex
PTCH1	Holoprosencephaly 7
RASA1	Capillary Malformation-Arteriovenous Malformation
RBM28	Alopecia, Neurologic Defects, and Endocrinopathy Syndrome
REN	Hyperuricemic Nephropathy, Familial Juvenile 2
RPGRIP1L	COACH syndrome
SDHA	Leigh Disease
SECISBP2	Thyroid Hormone Metabolism, Abnormal
SERPIND1	Heparin Cofactor II Deficiency
SIX1	Branchiootic Syndrome 3
SLC10A2	Bile Acid Malabsorption, Primary
SLC1A3	Episodic Ataxia, Type 6
SLC25A12	Hypomyelination, Global Cerebral
SLC33A1	Spastic Paraplegia 42, Autosomal Dominant
SLC36A2	Glycinuria with or without Oxalate Urolithiasis
SLC36A2	Iminoglycinuria
SMARCA2	Nicolaides Baraitser syndrome
SMCHD1	Facioscapulohumeral Muscular Dystrophy 1B
SOST	Sclerosteosis
SPINT2	Diarrhea 3, Secretory Sodium, Congenital
STXBP1	Epileptic Encephalopathy, Early Infantile, 4
TBXAS1	Ghosal Hematodiaphyseal Dysplasia
TEAD1	Sveinsson Chorioretinal Atrophy
TGFBI	Corneal Dystrophy, Lattice Type IIIA
TINF2	Revesz Debuse syndrome
TMEM216	Joubert syndrome 2
TMEM67	Meckel syndrome type 3
TMEM67	NEPHRONOPHTHISIS 11
TNNT3	Distal arthrogryposis type 2B
TSEN54	Young McKeever Squier syndrome
TSEN54	Pontocerebellar Hypoplasia Type 2A
TSHR	Hyperthyroidism, Familial Gestational
TTR	Dystransthyretinemic Euthyroidal Hyperthyroxinemia
UBA1	Arthrogryposis multiplex congenita, distal, X-linked
UPB1	Beta-Ureidopropionase Deficiency
UROC1	Urocanase deficiency
WNT10A	Odontoonychodermal dysplasia
ZFP57	Diabetes Mellitus, Transient Neonatal, 1
ZNF592	Spinocerebellar ataxia, autosomal recessive 5
ABCB11	Cholestasis, benign recurrent intrahepatic 2
ACAD8	Isobutyryl-CoA dehydrogenase deficiency
ACADSB	2-Methylbutyryl-Coa Dehydrogenase Deficiency
ACAN	Osteochondritis Dissecans
AGT	Allanson Pantzar McLeod syndrome
APOA1	Amyloidosis, familial visceral
ARHGAP26	Leukemia, Myelomonocytic, Juvenile
ARHGEF9	Hyperekplexia and Epilepsy
ATP8B1	Cholestasis, benign recurrent intrahepatic 1
BAAT	Hypercholanemia, Familial
BCS1L	Mitochondrial Complex III Deficiency
BMP4	Orofacial Cleft 11
CASP10	Autoimmune Lymphoproliferative Syndrome, Type IIA
CC2D2A	COACH syndrome
CD8A	CD8 Deficiency, Familial
CD96	Opitz trigonocephaly syndrome
CDKL5	Epileptic Encephalopathy, Early Infantile, 2
CDKN2A	Melanoma-Pancreatic Cancer Syndrome
CERKL	Retinitis Pigmentosa 26
CFI	Complement Factor I Deficiency
CFP	Properdin deficiency, X-linked
CHRNB2	Epilepsy, Nocturnal Frontal Lobe, Type 3
CLCN5	Nephrolithiasis, X-Linked Recessive, with Renal Failure
CNGA3	Achromatopsia 2
CNGB3	Stargardt disease 1
COL1A1	Ehlers-Danlos syndrome type 1
CRB1	Pigmented Paravenous Chorioretinal Atrophy
CUL4B	Mental Retardation, X-Linked, With Brachydactyly And Macroglossia
CYP11B2	18-Hydroxylase deficiency
DDR2	Spondylometaepiphyseal Dysplasia, Short Limb-Hand Type
DDX11	WARSAW BREAKAGE SYNDROME
DMGDH	Dimethylglycine Dehydrogenase Deficiency
DOK7	Congenital myasthenic syndrome ib
DOLK	Congenital Disorder Of Glycosylation, Type Im
ECM1	Lipoid Proteinosis of Urbach and Wiethe
EGR2	Charcot-Marie-Tooth disease, Type 1D
EIF2B3	Childhood Ataxia with Central Nervous System Hypomyelinization
EPG5	Absent corpus callosum cataract immunodeficiency
FBN1	Stiff Skin Syndrome
FGFR1	Osteoglophonic dwarfism
FGFR1	Trigonocephaly, Nonsyndromic
FGFR3	CATSHL syndrome
FHL1	Scapuloperoneal Myopathy, X-Linked Dominant
FKTN	Muscular Dystrophy, Limb-Girdle, Type 2M
FLNA	Cardiac valvular dysplasia, X-linked
FLVCR2	Encephaloclastic Proliferative Vasculopathy
FOXG1	RETT SYNDROME, CONGENITAL VARIANT
FSHB	Follicle-stimulating hormone deficiency, isolated
FTCD	Glutamate formiminotransferase deficiency
G6PC3	Neutropenia, Severe Congenital, Autosomal Recessive 4
GABRG2	Generalized Epilepsy With Febrile Seizures Plus, Type 3
GFER	Myopathy, Mitochondrial Progressive, With Congenital Cataract, Hearing Loss, And Developmental Delay
GGCX	Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, 1
GH1	Isolated Growth Hormone Deficiency, Type IB
GH1	Kowarski syndrome
GIF	Intrinsic Factor Deficiency
GJA1	Syndactyly, type 3
GJA5	Atrial Standstill
GJB2	HID Syndrome
GLUL	Glutamine deficiency, congenital
GNRHR	Fertile eunuch syndrome
GRM6	NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 1B
HOXA13	Preaxial deficiency, postaxial polydactyly and hypospadias
HOXD13	Syndactyly, type v
HRAS	Nevus, Sebaceous of Jadassohn
HSD17B3	17-Hydroxysteroid Dehydrogenase Deficiency
HSPB8	Charcot-Marie-Tooth disease, Type 2I
HSPD1	Leukodystrophy, Hypomyelinating, 4
ITPR1	Spinocerebellar Ataxia 29
KCNE1	Long Qt Syndrome 5
KCNE2	Long Qt Syndrome 6
KCNJ11	Hyperinsulinemic hypoglycemia, familial, 2
KCNK9	Birk-Barel Mental Retardation Dysmorphism Syndrome
KITLG	Hyperpigmentation, Familial Progressive
LBR	Reynold's syndrome
LHCGR	Leydig Cell Hypoplasia, Type I
MAPK8IP1	Diabetes Mellitus, Type 2
MMP13	Spondyloepimetaphyseal Dysplasia, Missouri Type
MPZ	Charcot-Marie-Tooth disease, Type 2J
MUTYH	Colorectal Adenomatous Polyposis, Autosomal Recessive
MYH14	Deafness, Autosomal Dominant 4
MYH8	Carney Complex Variant
MYH9	Deafness, Autosomal Dominant 17
MYOT	Muscular dystrophy, limb-girdle, type 1A
NDUFS2	Mitochondrial complex I deficiency
NEFL	Charcot-Marie-Tooth disease, Type 2E
NEUROG3	Diarrhea 4, Malabsorptive, Congenital
NHEJ1	Severe Combined Immunodeficiency with Microcephaly, Growth Retardation, and Sensitivity to Ionizing Radiation
NOG	Tarsal carpal coalition syndrome
NUP62	Striatonigral degeneration infantile
OPN1LW	Blue cone monochromatism
OPN1MW	Blue cone monochromatism
PDYN	Spinocerebellar ataxia 23
PEX5	Neonatal adrenoleukodystrophy
PGAM2	Dimauro disease
PHF8	Siderius X-linked mental retardation syndrome
PHGDH	Phosphoglycerate Dehydrogenase Deficiency
PIGV	Hyperphosphatasia with Mental Retardation
PITPNM3	Cone-Rod Dystrophy 5
PKP2	Arrhythmogenic Right Ventricular Dysplasia, Familial, 9
PLA2G6	NBIA2B
PLCE1	NEPHROTIC SYNDROME, TYPE 3
PNPO	Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency
POMT1	Muscular Dystrophy, Limb-Girdle, Type 2K
PPIB	Osteogenesis Imperfecta, Type IX
PRPH2	Choroidal Dystrophy, Central Areolar 2
PRPS1	Deafness, X-Linked 1
PRPS1	Optic atrophy polyneuropathy deafness
PRPS1	Phosphoribosylpyrophosphate Synthetase Superactivity
PRRX1	Dysgnathia complex
PTCH1	Holoprosencephaly 7
RASA1	Capillary Malformation-Arteriovenous Malformation
RBM28	Alopecia, Neurologic Defects, and Endocrinopathy Syndrome
REN	Hyperuricemic Nephropathy, Familial Juvenile 2
RPGRIP1L	COACH syndrome
SDHA	Leigh Disease
SECISBP2	Thyroid Hormone Metabolism, Abnormal
SERPIND1	Heparin Cofactor II Deficiency
SIX1	Branchiootic Syndrome 3
SLC10A2	Bile Acid Malabsorption, Primary
SLC1A3	Episodic Ataxia, Type 6
SLC25A12	Hypomyelination, Global Cerebral
SLC33A1	Spastic Paraplegia 42, Autosomal Dominant
SLC36A2	Glycinuria with or without Oxalate Urolithiasis
SLC36A2	Iminoglycinuria
SMARCA2	Nicolaides Baraitser syndrome
SMCHD1	Facioscapulohumeral Muscular Dystrophy 1B
SOST	Sclerosteosis
SPINT2	Diarrhea 3, Secretory Sodium, Congenital
STXBP1	Epileptic Encephalopathy, Early Infantile, 4
TBXAS1	Ghosal Hematodiaphyseal Dysplasia
TEAD1	Sveinsson Chorioretinal Atrophy
TGFBI	Corneal Dystrophy, Lattice Type IIIA
TINF2	Revesz Debuse syndrome
TMEM216	Joubert syndrome 2
TMEM67	Meckel syndrome type 3
TMEM67	NEPHRONOPHTHISIS 11
TNNT3	Distal arthrogryposis type 2B
TSEN54	Pontocerebellar Hypoplasia Type 2A
TSEN54	Young McKeever Squier syndrome
TSHR	Hyperthyroidism, Familial Gestational
TTR	Dystransthyretinemic Euthyroidal Hyperthyroxinemia
UBA1	Arthrogryposis multiplex congenita, distal, X-linked
UPB1	Beta-Ureidopropionase Deficiency
UROC1	Urocanase deficiency
WNT10A	Odontoonychodermal dysplasia
ZFP57	Diabetes Mellitus, Transient Neonatal, 1
ZNF592	Spinocerebellar ataxia, autosomal recessive 5
AARS	Charcot-Marie-Tooth Disease, Axonal, Type 2n
ABAT	Gamma aminobutyric acid transaminase deficiency
ABCA4	Macular Degeneration, Age-Related, 2
ABCB4	Cholecystitis
ABCB7	Anemia, sideroblastic spinocerebellar ataxia
ABCC8	Hyperinsulinemic hypoglycemia, familial, 1
ABCC8	Hypoglycemia, leucine-induced
ABCC9	Cardiomyopathy, Dilated, 1o
ACAN	Spondyloepimetaphyseal Dysplasia, Aggrecan Type
ACSL4	Mental Retardation, X-Linked 63
ACTA2	Aortic Aneurysm, Familial Thoracic 6
ACTB	Juvenile-onset dystonia
ACTC1	Cardiomyopathy, Familial Hypertrophic, 11
ACTC1	Atrial Septal Defect 5
ACTG1	Deafness, Autosomal Dominant 20
ACTN2	Cardiomyopathy, Dilated, 1AA
ACY1	Aminoacylase 1 deficiency
ADAMTSL2	GELEOPHYSIC DYSPLASIA 1
ADCK3	Spinocerebellar Ataxia, Autosomal Recessive 9
AFG3L2	Spinocerebellar ataxia 28
AGTR1	Allanson Pantzar McLeod syndrome
AIFM1	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 6
AIFM1	Cowchock syndrome
AK1	Adenylate Kinase Deficiency, Hemolytic Anemia Due To
AKAP9	Long Qt Syndrome 11
AKR1D1	Bile acid synthesis defect, congenital, 2
ALDOA	Glycogen Storage Disease XII
ALG11	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ip
ALX4	Parietal Foramina 2
AMACR	Bile acid synthesis defect, congenital, 4
ANG	Amyotrophic Lateral Sclerosis 9
AP2S1	Familial benign hypercalcemia, type 3
APP	Cerebral Amyloid Angiopathy, App-Related
ARFGEF2	Heterotopia, Periventricular, Autosomal Recessive
ARHGEF10	Slowed Nerve Conduction Velocity, Autosomal Dominant
ARL13B	Joubert Syndrome 8
ARL6	RETINITIS PIGMENTOSA 55
ARX	Mental Retardation, X-Linked, With Or Without Seizures, Arx-Related
ARX	Proud Syndrome
ATIC	AICAR Transformylase Inosine Monophosphate Cyclohydrolase Deficiency
ATP1A2	Alternating hemiplegia of childhood
ATP2B3	Spinocerebellar Ataxia, X-Linked 1
ATP6V1B1	Renal Tubular Acidosis, Distal, with Progressive Nerve Deafness
ATP7A	Spinal Muscular Atrophy, Distal, X-Linked 3
ATPAF2	MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 1
B2M	Hypoproteinemia, Hypercatabolic
BAG3	Myopathy, Myofibrillar, Bag3-Related
BCMO1	Hypercarotenemia And Vitamin A Deficiency, Autosomal Dominant
BCOR	Microphthalmia, syndromic 2
BEST1	Retinitis Pigmentosa, Concentric
BFSP2	Cataract, Autosomal Dominant, Multiple Types 1
BMP15	Ovarian Dysgenesis 2
BMP4	Microphthalmia, Syndromic 6
BPGM	BISPHOSPHOGLYCERATE MUTASE
BRAF	NOONAN SYNDROME 7
BRAF	LEOPARD SYNDROME 3
BRWD3	Mental Retardation, X-Linked 93
C1GALT1C1	Tn Syndrome
C2orf71	RETINITIS PIGMENTOSA 54
C2	COMPLEMENT COMPONENT 2 DEFICIENCY
CA12	HYPERCHLORHIDROSIS, ISOLATED
CA8	Cerebellar Ataxia, Mental Retardation, And Dysequilibrium Syndrome 3
CABP4	NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 2B
CACNA1C	Brugada Syndrome 3
CACNB2	Brugada Syndrome 4
CACNB4	Episodic Ataxia, Type 5
CAV3	CREATINE PHOSPHOKINASE, ELEVATED SERUM
CAV3	Cardiomyopathy, Familial Hypertrophic, 1
CBL	NOONAN SYNDROME-LIKE DISORDER WITH OR WITHOUT JUVENILE MYELOMONOCYTIC LEUKEMIA
CBX2	46, XY Sex Reversal 5
CC2D2A	Joubert Syndrome 9
CC2D2A	Meckel Syndrome, Type 6
CCBE1	Hennekam lymphangiectasia lymphedema syndrome
CCT5	Neuropathy, Hereditary Sensory, with Spastic Paraplegia, Autosomal Recessive
CD79B	AGAMMAGLOBULINEMIA 6, AUTOSOMAL RECESSIVE
CDH15	Mental Retardation, Autosomal Dominant 3
CDK4	MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 3
CDKN2A	MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 2
CENPJ	Microcephaly, Primary Autosomal Recessive, 6
CEP290	Senior-Loken Syndrome 6
CFC1	heterotaxy 2 (autosomal dominant)
CFH	Macular Degeneration, Age-Related, 4
CFL2	Nemaline Myopathy 7
CHMP4B	Cataract, posterior polar, 3
CHRNA1	Myasthenic Syndrome, Congenital, Fast-Channel
CHRNA1	MULTIPLE PTERYGIUM SYNDROME, LETHAL TYPE
CHRNA2	Epilepsy, Nocturnal Frontal Lobe, Type 4
CHRND	Myasthenic Syndrome, Congenital, Fast-Channel
CHRND	MULTIPLE PTERYGIUM SYNDROME, LETHAL TYPE
CHRNE	Myasthenic Syndrome, Congenital, Fast-Channel
CLCN5	Low Molecular Weight Proteinuria with Hypercalciuria and Nephrocalcinosis
CLCNKA	Bartter Syndrome, Type 4b
CLDN16	Hypomagnesemia primary
CLDN19	Hypomagnesemia 5, Renal, with Ocular Involvement
COG4	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIj
COL11A2	Deafness, Autosomal Recessive 53
COL2A1	Osteoarthritis with Mild Chondrodysplasia
COL2A1	Epiphyseal Dysplasia, Multiple, with Myopia and Conductive Deafness
COL3A1	Ehlers-Danlos syndrome type 3
COL7A1	Toenail Dystrophy, Isolated
COL8A2	Corneal Dystrophy, Posterior Polymorphous, 2
COLEC11	Carnevale syndrome
COX4I2	Exocrine Pancreatic Insufficiency, Dyserythropoietic Anemia, and Calvarial Hyperostosis
COX6B1	Cytochrome-c Oxidase Deficiency
CPN1	Carboxypeptidase N Deficiency
CPT2	Carnitine Palmitoyltransferase II Deficiency, Late-Onset
CRYBA4	Microphthalmia, Isolated, with Cataract 4
CRYBA4	Cataract, Lamellar 2
CRYBB3	Cataract, Congenital Nuclear, Autosomal Recessive 2
CSF2RA	Surfactant Metabolism Dysfunction, Pulmonary, 4
CTNS	Cystinosis, ocular nonnephropathic
CYB5R3	NADH cytochrome B5 reductase deficiency
CYBA	Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-Negative
CYP1B1	Glaucoma 1, Open Angle, A
CYP2R1	Vitamin D Hydroxylation-Deficient Rickets, Type 1B
CYP4F22	Lamellar ichthyosis, type 3
DCTN1	Neuronopathy, Distal Hereditary Motor, Type Viib
DES	Scapuloperoneal Syndrome, Neurogenic, Kaeser Type
DGUOK	MITOCHONDRIAL DNA DEPLETION SYNDROME 3 (HEPATOCEREBRAL TYPE)
DHH	46,XY Gonadal Dysgenesis, Complete or Partial, DHH-Related
DNAAF1	Ciliary Dyskinesia, Primary, 13
DNM2	Myopathy, Centronuclear, Autosomal Dominant
DNM2	Charcot-Marie-Tooth Disease, Dominant Intermediate B
DPM3	Congenital Disorder of Glycosylation, Type Io
DPYS	Dihydropyrimidinase Deficiency
DSC2	Arrhythmogenic Right Ventricular Dysplasia, Familial, 11
DSG2	Arrhythmogenic Right Ventricular Dysplasia, Familial, 10
DSP	Arrhythmogenic Right Ventricular Dysplasia, Familial, 8
DSPP	Deafness, Autosomal Dominant 39, with Dentinogenesis Imperfecta 1
DTNA	Noncompaction of Left Ventricular Myocardium, Familial Isolated, Autosomal Dominant 1
EDA	Tooth Agenesis, Selective, X-Linked, 1
EGF	Hypomagnesemia 4, Renal
EGLN1	Erythrocytosis, Familial, 3
ELANE	Neutropenia, Severe Congenital, Autosomal Dominant 1
ENO3	Glycogen Storage Disease XIII
ENPP1	Hypophosphatemic Rickets, Autosomal Recessive, 2
EPAS1	Erythrocytosis, Familial, 4
EPB42	Spherocytosis, Type 5
ERCC1	Cerebrooculofacioskeletal Syndrome 4
ERCC2	Cerebrooculofacioskeletal Syndrome 2
ERCC3	TRICHOTHIODYSTROPHY, PHOTOSENSITIVE
